的	〔白勹丶丶_rqyy〕
尴	〔𠂇乚〢皿_dnjl〕
熠	〔火羽白一_onrg〕
淳	〔氵子一_iybg〕
痢	〔疒禾刂〣_utjk〕
咚	〔口夂⺀丶_ktuy〕
泗	〔氵四一_ilg〕
榕	〔木人口_spwk〕
撬	〔扌毛毛毛_reee〕
檀	〔木亠囗一_sylg〕
苇	〔艹韦〢_ahj〕
冥	〔冖日六⺀_pjuu〕
嬉	〔女士豆口_vflk〕
靡	〔广木丨三_oshd〕
擒	〔扌人亠厶_rwyc〕
苞	〔艹勹巳巜_aqnb〕
蚂	〔虫马一_jcg〕
甄	〔覀土瓦丶_sfgy〕
窟	〔尸凵山_pnbm〕
蛛	〔虫小丶_jriy〕
娣	〔女丷弓丿_vuxt〕
瘩	〔疒艹口_uawk〕
驮	〔马大丶_cdy〕
琉	〔王亠厶_gyck〕
暇	〔日丨又_jnhc〕
橱	〔木厂一寸_sdgf〕
菩	〔艹立口二_aukf〕
嘈	〔口一冂日_kgmj〕
禅	〔礻丷丨_pulh〕
恝	〔丰刀心⺀_dvnu〕
鲤	〔一日土_qgjf〕
呻	〔口日丨丨_kjhh〕
龚	〔𠂇𠤎龷八_dxaw〕
兢	〔古儿古儿_dqdq〕
幌	〔冂丨日兀_mhjg〕
牟	〔厶牛〢_crj〕
匣	〔匚甲〣_alk〕
酏	〔西一也𡿨_sgbn〕
卉	〔十廾〢_faj〕
萱	〔艹宀一一_apgg〕
凛	〔冫亠囗小_uyli〕
忱	〔忄冖𡿨_npqn〕
拷	〔扌耂一ㄅ_rfgn〕
拯	〔扌了一_rbig〕
哔	〔口匕十_kxxf〕
悍	〔忄日二丨_njfh〕
毋	〔𠂇三_xdd〕
砉	〔丰丆口二_ddkf〕
锉	〔钅人人土_qwwf〕
幂	〔冖日大丨_pjdh〕
虞	〔七口大_hakd〕
崽	〔山田心⺀_mlnu〕
砾	〔石丿ㄥ小_dtni〕
垣	〔土一日一_fgjg〕
娴	〔女门木丶_vusy〕
瑛	〔王艹冂大_gamd〕
捶	〔扌丿十一_rtfg〕
肾	〔〢又月二_jcef〕
殡	〔一夕宀八_gqpw〕
羁	〔罒廿马_lakc〕
蛤	〔虫口一_jwkg〕
獗	〔犭厂䒑人_eduw〕
汲	〔氵乃丶丶_ibyy〕
垠	〔土艮丶_fvy〕
迸	〔䒑廾辶〣_uapk〕
绊	〔纟半丨_xuh〕
钵	〔钅木一一_qsgg〕
飙	〔犬犬犬乂_dddr〕
搂	〔扌米女一_rovg〕
冕	〔⺜⺈口_jqkq〕
蠕	〔虫雨丆𦉫_jfdm〕
肘	〔月寸丶_efy〕
拙	〔扌凵山丨_rbmh〕
捎	〔扌⺌月一_rieg〕
饲	〔饣司口一_tnkg〕
钨	〔钅勹ㄅ一_qqng〕
绽	〔纟宀一龰_xpgh〕
觐	〔廿口龶_akgq〕
赂	〔贝夂口一_mtkg〕
蚁	〔虫丶乂丶_jyry〕
肱	〔月𠂇厶丶_edcy〕
嗡	〔口八厶羽_kwcn〕
栈	〔木二丶_sfxy〕
忡	〔忄口丨丨_nkhh〕
裔	〔亠𧘇冂口_yemk〕
迥	〔冂口辶三_mkpd〕
朦	〔月艹冖𧰨_eape〕
浚	〔氵厶八夂_icwt〕
肇	〔户攵彐𰀁_otvg〕
萋	〔艹一彐女_agvv〕
尬	〔𠂇乚人_dnwj〕
髯	〔镸彡冂土_demf〕
弘	〔弓厶丶_xcy〕
戮	〔羽人彡戈_nwea〕
汕	〔氵山丨_imh〕
倔	〔亻尸凵山_wnbm〕
拭	〔扌𫠠工丶_raay〕
鹃	〔口月鸟一_keqg〕
婪	〔木木女二_ssvf〕
墟	〔土七业_fhao〕
嗦	〔口幺小_kfxi〕
嘀	〔口冂古_kumd〕
骥	〔马匕八_cuxw〕
吩	〔口八刀丿_kwvt〕
簸	〔𥫗八皮_tdwb〕
藉	〔艹三𡭔日_adij〕
潼	〔氵立日土_iujf〕
膳	〔月䒑𰀁口_eugk〕
谚	〔讠产彡丿_yuet〕
肋	〔月力丿_eet〕
阙	〔门䒑屮人_uubw〕
汶	〔氵文丶_iyy〕
踞	〔𧾷尸古一_lndg〕
圾	〔土乃丶丶_fbyy〕
讥	〔讠几𡿨_ywn〕
菠	〔艹氵皮⺀_aibu〕
疮	〔疒人⺋巛_uwbv〕
箕	〔𥫗八⺀_tdwu〕
屎	〔尸米氵_noi〕
璧	〔𡰪辛王丶_nugy〕
霎	〔雨立女二_fuvf〕
晦	〔日𠂉母丶_jtxy〕
颐	〔匚𦣞丆贝_ahdm〕
慑	〔忄耳又又_nbcc〕
肽	〔月大丶丶_edyy〕
翊	〔立羽一_ung〕
堰	〔土匚日女_fajv〕
蛙	〔虫土土一_jffg〕
蚜	〔虫𡕒丿丿_jatt〕
娜	〔女𠃌阝_vngb〕
炔	〔火人丶_onwy〕
垃	〔土立一_fug〕
钼	〔钅目一_qhg〕
刁	〔𠃌㇀三_ngd〕
鸽	〔口鸟一_wkqg〕
梧	〔木五口一_sgkg〕
殉	〔一夕勹日_gqqj〕
憋	〔㡀攵心⺀_itnu〕
婢	〔女十丨_vrfh〕
妒	〔女户丿_vot〕
窘	〔尹口二_pvkf〕
泾	〔氵工一_icag〕
漪	〔氵犭大口_iedk〕
筵	〔𥫗丿止廴_tthp〕
搀	〔扌⺈口⺀_rqku〕
矾	〔石几丶丶_dwyy〕
柑	〔木卄二一_safg〕
撩	〔扌大丷小_rdui〕
劾	〔亠亥力丿_ynet〕
嫣	〔女一止灬_vgho〕
咪	〔口米丶_koy〕
焘	〔寸灬⺀_dfou〕
雉	〔𠂉大亻_tdwy〕
遏	〔日勹人辶_jqwp〕
蔷	〔艹土丷口_afuk〕
胭	〔月囗大一_eldg〕
炬	〔火匚𡿨_oann〕
粕	〔米白一_org〕
弋	〔𫠠丶氵_ayi〕
璇	〔王方𠂉龰_gyth〕
颅	〔⺊尸丆贝_hndm〕
觜	〔止匕⺈用_hxqe〕
磋	〔石䒑工_duga〕
馅	〔饣⺈臼一_tqeg〕
踌	〔𧾷寸丶_ldfy〕
澎	〔氵士豆彡_ifle〕
蛹	〔虫龴用丨_jceh〕
伫	〔亻宀一一_wpgg〕
奚	〔爫幺大⺀_exdu〕
岑	〔山人𪜊巜_mwnb〕
缭	〔纟大丷小_xdui〕
谟	〔讠艹日大_yajd〕
髡	〔镸彡兀巜_degb〕
伯	〔亻白一_wrg〕
瞄	〔目艹田一_halg〕
钛	〔钅大丶丶_qdyy〕
陇	〔阝𠂇𠤎丶_bdxy〕
轲	〔丁口一_lskg〕
羧	〔䒑厶夂_ugct〕
疤	〔疒巴巛_ucv〕
苔	〔艹厶口二_ackf〕
嘟	〔口耂日阝_kfjb〕
铰	〔钅六乂丶_qury〕
卣	〔⺊囗二_hlnf〕
惺	〔忄日生一_njtg〕
讷	〔讠冂人丶_ymwy〕
辗	〔尸龷_lnae〕
茉	〔艹一木⺀_agsu〕
徭	〔彳爫山_term〕
妾	〔立女二_uvf〕
隧	〔阝䒑𧰨辶_buep〕
弈	〔亠廾〢_yoaj〕
惋	〔忄宀夕⺋_npqb〕
荃	〔艹人王二_awgf〕
褶	〔衤羽白一_pnrg〕
蜿	〔虫宀夕⺋_jpqb〕
痪	〔疒⺈冂大_uqmd〕
哮	〔口耂子一_kfbg〕
呃	〔口厂⺋𡿨_kdbn〕
怡	〔忄厶口一_nckg〕
遁	〔𠂆十目辶_rfhp〕
悸	〔忄禾子一_ntbg〕
俟	〔亻厶𠂉大_wctd〕
锂	〔钅日土一_qjfg〕
蚵	〔虫丁口一_jskg〕
祷	〔礻寸丶_pdfy〕
芭	〔艹巴巜_acb〕
犀	〔尸氺牛〣_nirk〕
恤	〔忄丿皿一_ntlg〕
沣	〔氵丰丨_idh〕
窦	〔卖⺀大_pfud〕
篝	〔𥫗𠀎冂土_tamf〕
埂	〔土一日乂_fgjr〕
巅	〔山十贝_mfhm〕
蔼	〔艹讠日ㄥ_ayjn〕
轵	〔口八丶_lkwy〕
钴	〔钅古一_qdg〕
帚	〔彐冖冂丨_vpmh〕
蕃	〔艹釆田二_aolf〕
斛	〔⺈用⺀十_qeuf〕
耘	〔三小二厶_difc〕
嬷	〔女广木厶_vosc〕
甥	〔生田力丿_tlet〕
荸	〔艹子二_afbf〕
酋	〔丷西一二_usgf〕
叨	〔口刀丿_kvt〕
猿	〔犭土口𧘇_efke〕
馨	〔士𠃜几日_fnwj〕
铐	〔钅耂一ㄅ_qfgn〕
瑶	〔王爫山_germ〕
祆	〔礻一大丶_pgdy〕
锑	〔钅丷弓丿_quxt〕
蜗	〔虫口冂人_jkmw〕
刭	〔工刂丨_cajh〕
葆	〔艹亻口木_awks〕
弼	〔弓丆日弓_xdjx〕
缤	〔纟宀八_xprw〕
瘠	〔疒人月_uiwe〕
曳	〔日彡_jxe〕
屹	〔山𠂉乙𡿨_mtnn〕
戍	〔戊丶丶氵_dyyi〕
茁	〔艹凵山〢_abmj〕
毓	〔𠂉母亠_txyk〕
楦	〔木宀一一_spgg〕
锲	〔钅丰刀大_qdvd〕
谍	〔讠廿ㄥ木_yans〕
燎	〔火大丷小_odui〕
捅	〔扌龴用丨_rceh〕
苷	〔艹卄二二_aaff〕
茴	〔艹囗口二_alkf〕
蛟	〔虫六乂丶_jury〕
臆	〔月立日心_eujn〕
匕	〔匕丿乚Ж_xtnl〕
徊	〔彳囗口一_tlkg〕
毗	〔田匕𡿨_lxxn〕
淇	〔氵八丶_idwy〕
檄	〔木敫攵丶_srty〕
懋	〔木矛木心_scsn〕
荀	〔艹勹日二_aqjf〕
噜	〔口一日_kqgj〕
梓	〔木辛丨_suh〕
贽	〔扌丸贝⺀_rvmu〕
蠡	〔彑𧰨虫虫_xejj〕
漱	〔氵木口人_iskw〕
迦	〔力口辶三_ekpd〕
懊	〔忄丿冂大_ntmd〕
愕	〔忄口口ㄅ_nkkn〕
帛	〔白冂丨〢_rmhj〕
咙	〔口𠂇𠤎丶_kdxy〕
渝	〔氵刖丨_iweh〕
卅	〔一川〣_gkk〕
啪	〔口扌白一_krrg〕
炙	〔火⺀_qou〕
睾	〔丿皿土十_tlff〕
诋	〔讠𫠠丶_yqay〕
桢	〔木⺊贝丶_shmy〕
贻	〔贝厶口一_mckg〕
褙	〔衤匕月_puxe〕
鲂	〔一方丿_qgyt〕
碲	〔石冖丨_duph〕
菇	〔艹女古二_avdf〕
俏	〔亻⺌月一_wieg〕
闰	〔门王三_ugd〕
萃	〔艹亠人十_aywf〕
嗳	〔口爫冖又_kepc〕
嫡	〔女冂古_vumd〕
劓	〔丿目田刂_thlj〕
俾	〔亻十丨_wrfh〕
菡	〔艹了凵_abib〕
惴	〔忄山丆𦉫_nmdm〕
遽	〔七一辶_hagp〕
锚	〔钅艹田一_qalg〕
伽	〔亻力口一_wekg〕
坳	〔土幺力丿_fxet〕
渲	〔氵宀一一_ipgg〕
铛	〔钅⺌彐一_qivg〕
囤	〔囗一𡳾巛_lgbv〕
涸	〔氵囗古一_ildg〕
潇	〔氵艹彐_iavj〕
晖	〔日冖车丨_jplh〕
吠	〔口犬丶_kdy〕
莹	〔艹冖王丶_apgy〕
灏	〔氵日贝_ijym〕
捡	〔扌一_rwig〕
磊	〔石石丆口_dddk〕
糜	〔广木米氵_osoi〕
掇	〔扌又又又_rccc〕
擎	〔艹勹口手_aqkr〕
戟	〔十早戈丶_fjay〕
黯	〔黑立日一_lujg〕
哆	〔口夕夕丶_kqqy〕
醚	〔西一米辶_sgop〕
箍	〔𥫗扌匚丨_trah〕
嗒	〔口艹口_kawk〕
悒	〔忄口巴𡿨_nkcn〕
锹	〔钅禾火丶_qtoy〕
袒	〔衤日一一_pjgg〕
踊	〔𧾷龴用丨_lceh〕
啧	〔口龶贝丶_kgmy〕
砝	〔石土厶丶_dfcy〕
呛	〔口人⺋𡿨_kwbn〕
躇	〔𧾷艹耂日_lafj〕
吮	〔口厶儿𡿨_kcqn〕
眩	〔目亠幺丶_hyxy〕
檬	〔木艹冖𧰨_sape〕
铣	〔钅⺧儿𡿨_qeqn〕
茗	〔艹夕口二_aqkf〕
腑	〔月广亻寸_eowf〕
绫	〔纟土八夂_xfwt〕
褒	〔亠亻口𧘇_ywke〕
畿	〔幺幺戈田_xxal〕
倪	〔亻臼儿𡿨_weqn〕
铮	〔钅⺈彐丨_qqvh〕
矽	〔石夕丶_dqy〕
踉	〔𧾷丶艮丶_lyvy〕
筏	〔𥫗亻戈⺀_twau〕
剃	〔丷弓丨刂_uxhj〕
坂	〔土𠂆又丶_frcy〕
蜇	〔扌斤虫⺀_rrju〕
髦	〔镸彡毛巜_deeb〕
绎	〔纟又𰀁丨_xcgh〕
隅	〔阝日⽱丶_bjmy〕
攒	〔扌⺧儿贝_reqm〕
甭	〔丆卜用〢_dhej〕
孽	〔艹亻㠯子_awnb〕
蜒	〔虫丿止廴_jthp〕
狩	〔犭宀寸丶_epfy〕
虔	〔七文氵_hayi〕
嘹	〔口大丷小_kdui〕
辎	〔巛田一_lvlg〕
卯	〔丿卩丨_qtbh〕
祚	〔礻𠂉丨二_pthf〕
翟	〔羽亻二_nwyf〕
瞥	〔㡀攵目二_ithf〕
芸	〔艹二厶⺀_afcu〕
沐	〔氵木丶_isy〕
黍	〔禾人氺⺀_twiu〕
赘	〔攵贝⺀_gtmu〕
匝	〔匚冂丨〣_amhk〕
皑	〔白山己𡿨_rmnn〕
瘪	〔疒丿目匕_uthx〕
憨	〔𠃍耳攵心_nbtn〕
咆	〔口勹巳𡿨_kqnn〕
驭	〔马又丶_ccy〕
蒿	〔艹冂口_aymk〕
蝈	〔虫囗王丶_jlgy〕
刽	〔人二厶刂_wfcj〕
骸	〔月亠亥_meyn〕
唠	〔口艹冖力_kape〕
黩	〔黑卖⺀大_lfud〕
舀	〔爫臼二_eef〕
黝	〔黑幺力丿_lxet〕
瘟	〔疒日皿三_ujld〕
瑙	〔王巛丿乂_gvtr〕
咔	〔口上卜丶_khhy〕
鬓	〔镸彡宀八_depw〕
斡	〔十早人十_fjwf〕
诣	〔讠匕日一_yxjg〕
怠	〔厶口心⺀_cknu〕
撵	〔扌二人车_rfwl〕
濂	〔氵广䒑_iouv〕
妞	〔女𠃍土一_vnfg〕
眈	〔目冖𡿨_hpqn〕
匡	〔匚王三_agd〕
啮	〔口止齿丨_khbh〕
泞	〔氵宀丁丨_ipsh〕
肄	〔匕𠂉大𰀁_xtdg〕
钜	〔钅匚𡿨_qann〕
锏	〔钅门日一_qujg〕
仕	〔亻士一_wfg〕
荼	〔艹人木⺀_awsu〕
桧	〔木人二厶_swfc〕
矗	〔十十_fhfh〕
唬	〔口七几_khaw〕
伶	〔亻人丶_wwpy〕
萤	〔艹冖虫⺀_apju〕
仝	〔人工二_waf〕
懦	〔忄雨丆⺵_nfdm〕
怅	〔忄丿丶_ntay〕
盔	〔𠂇火皿二_dolf〕
芙	〔艹二人⺀_afwu〕
舐	〔丿古𫠠_tdqa〕
蹂	〔𧾷矛木丶_lcsy〕
惦	〔忄广⺊口_nohk〕
匾	〔匚户𠕁〣_aomk〕
霹	〔雨𡰪辛〢_fnuj〕
腋	〔月亠亻丶_eywy〕
阡	〔阝丿十丨_btfh〕
瓢	〔覀二小厶_sfic〕
羹	〔丷王灬大_ugod〕
掐	〔扌⺈臼一_rqeg〕
佯	〔亻䒑𰀁丨_wugh〕
盅	〔口丨皿二_khlf〕
恸	〔忄二厶力_nfce〕
骼	〔月夂口_metk〕
盎	〔冂大皿二_mdlf〕
壬	〔丿士三_tfd〕
侉	〔亻大二ㄅ_wdfn〕
噗	〔口业䒑人_kouw〕
猥	〔犭田丶_eley〕
芥	〔艹人〢_awjj〕
帧	〔冂丨⺊贝_mhhm〕
赍	〔十人人贝_fwwm〕
溺	〔氵弓冫冫_ixuu〕
砰	〔石一丷十_dguf〕
诙	〔讠𠂇火丶_ydoy〕
逍	〔⺌月辶三_iepd〕
笠	〔𥫗立二_tuf〕
酉	〔西一三_sgd〕
沅	〔氵二儿𡿨_ifqn〕
榄	〔木〢_sjtq〕
瓯	〔匚乂瓦丶_argy〕
髫	〔镸彡刀口_devk〕
阑	〔门木氵_usli〕
橄	〔木𠃍耳攵_snbt〕
焓	〔火人𪜊口_ownk〕
蘑	〔艹广木口_aosk〕
柠	〔木宀丁丨_spsh〕
炻	〔火丆口一_odkg〕
铂	〔钅白一_qrg〕
淞	〔氵木八厶_iswc〕
瀚	〔氵十早羽_ifjn〕
氩	〔⺄一业_rngo〕
觥	〔⺈用⺌兀_qeig〕
脓	〔月冖𧘇丶_epey〕
缮	〔纟䒑𰀁口_xugk〕
舔	〔丿古一⺗_tdgi〕
阉	〔门大日乚_udjn〕
拽	〔扌日丿_rjxt〕
憧	〔忄立日土_nujf〕
钲	〔钅一止一_qghg〕
肮	〔月亠几𡿨_eywn〕
恬	〔忄丿古一_ntdg〕
蟆	〔虫艹日大_jajd〕
疵	〔疒止匕巛_uhxv〕
篓	〔𥫗米女二_tovf〕
漾	〔氵丷王_iugi〕
纂	〔𥫗目大小_thdi〕
箐	〔𥫗龶月二_tgef〕
跺	〔𧾷几木丶_lwsy〕
裴	〔丨三亠𧘇_hdye〕
挞	〔扌大辶丶_rdpy〕
憬	〔忄日小_njyi〕
亢	〔亠几巜_ywb〕
懿	〔壹豆冫心_flun〕
侥	〔亻𫠠丿兀_watg〕
噬	〔口𥫗工人_ktaw〕
峒	〔山冂一口_mmgk〕
饪	〔饣丿士一_ttfg〕
荚	〔艹一丷大_agud〕
藕	〔艹三𡭔⽱_adim〕
韭	〔丨三一二_hdgf〕
镣	〔钅大丷小_qdui〕
恿	〔龴用心⺀_cenu〕
兀	〔一儿巛_gqv〕
噫	〔口立日心_kujn〕
恺	〔忄山己𡿨_nmnn〕
寰	〔宀罒一𧘇_plge〕
幺	〔幺ㄥㄥ丶_xnny〕
霆	〔雨丿士廴_ftfp〕
碴	〔石木日一_dsjg〕
藐	〔艹豸白儿_aerq〕
酣	〔西一卄二_sgaf〕
榷	〔木冖亻_spwy〕
弁	〔厶廾〢_caj〕
翡	〔丨三羽二_hdnf〕
桅	〔木⺈厂⺋_sqdb〕
掷	〔扌䒑大阝_rudb〕
诒	〔讠厶口一_yckg〕
璞	〔王业䒑人_gouw〕
瘀	〔疒方人⺀_uywu〕
擂	〔扌雨田一_rflg〕
窿	〔阝夂生_pbtt〕
鳃	〔一田心_qgln〕
掖	〔扌亠亻丶_rywy〕
觊	〔山己冂_mnmq〕
箔	〔𥫗氵白二_tirf〕
睫	〔目一彐龰_hgvh〕
冗	〔冖几巜_pwb〕
崛	〔山尸凵山_mnbm〕
熨	〔尸二小火_nfio〕
睬	〔目爫木丶_hesy〕
镐	〔钅冂口_qymk〕
堑	〔斤土二_lrff〕
亘	〔一日一二_gjgf〕
卦	〔土土卜丶_ffhy〕
踯	〔𧾷䒑大阝_ludb〕
佬	〔亻耂匕𡿨_wfxn〕
撂	〔扌田夂口_rltk〕
嗵	〔口龴用辶_kcep〕
贳	〔廿𠃋贝⺀_anmu〕
煊	〔火宀一一_opgg〕
铎	〔钅又𰀁丨_qcgh〕
痞	〔疒丆卜口_udhk〕
酗	〔西一乂凵_sgrb〕
稷	〔禾田八夂_tlwt〕
甬	〔龴用〢_cej〕
捺	〔扌大二小_rdfi〕
咄	〔口凵山丨_kbmh〕
漩	〔氵方𠂉龰_iyth〕
晏	〔日宀女二_jpvf〕
氚	〔⺄川〢_rnkj〕
瘤	〔疒刀田_uqvl〕
砚	〔石冂𡿨_dmqn〕
赭	〔土耂日_fofj〕
鹊	〔龷日鸟一_ajqg〕
阪	〔阝𠂆又丶_brcy〕
绛	〔纟夂匸丨_xtah〕
诲	〔讠𠂉母丶_ytxy〕
匍	〔勹甫氵_qsi〕
喽	〔口米女一_kovg〕
砩	〔石弓丨_dxjh〕
簦	〔𥫗癶一豆_twgl〕
臃	〔月亠_eyxy〕
佘	〔人二小⺀_wfiu〕
诨	〔讠冖车丨_yplh〕
粽	〔米宀二小_opfi〕
蓟	〔艹㇀刂_aqgj〕
郦	〔一冂丶阝_gmyb〕
漉	〔氵匕𡿨_ioxn〕
橘	〔木矛冂口_scmk〕
粼	〔米夕匸巜_oqab〕
惫	〔夂田心⺀_tlnu〕
淄	〔氵巛田一_ivlg〕
瑜	〔王刖丨_gweh〕
咎	〔夂卜口二_thkf〕
搔	〔扌叉虫丶_rcjy〕
弛	〔弓也𡿨_xbn〕
涣	〔氵⺈冂大_iqmd〕
痰	〔疒火火氵_uooi〕
浏	〔氵文刂丨_iyjh〕
溥	〔氵甫寸丶_isfy〕
鸨	〔匕十鸟一_xfqg〕
酐	〔西一二丨_sgfh〕
郛	〔爫子阝丨_ebbh〕
塾	〔子丸土_ybvf〕
踵	〔𧾷丿一土_ltgf〕
狞	〔犭宀丁丨_epsh〕
陂	〔阝皮丶_bby〕
蓿	〔艹宀亻日_apwj〕
麝	〔匕身寸_oxrf〕
瞩	〔目尸丿⽱_hntm〕
邳	〔丆卜一阝_dhgb〕
淅	〔氵木斤丨_isrh〕
驸	〔马亻寸丶_cwfy〕
晟	〔日戊𠃌⺀_jdnu〕
聆	〔耳人丶_bwpy〕
悯	〔忄门文丶_nuyy〕
偾	〔亻十艹贝_wfam〕
拮	〔扌士口一_rfkg〕
癣	〔疒一𰀁_uqgg〕
暹	〔日亻辶_jwyp〕
胫	〔月工一_ecag〕
榔	〔木丶阝_syvb〕
酪	〔西一夂口_sgtk〕
俐	〔亻禾刂丨_wtjh〕
纭	〔纟二厶丶_xfcy〕
轭	〔厂⺋𡿨_ldbn〕
耄	〔⺹匕毛巜_fxeb〕
漕	〔氵一冂日_igmj〕
锷	〔钅口口ㄅ_qkkn〕
鳔	〔一覀小_qgsi〕
笆	〔𥫗巴巜_tcb〕
狸	〔犭日土一_ejfg〕
墅	〔日土予土_jfcf〕
巳	〔巳㇆一乚_nngn〕
唁	〔口言一_kyg〕
蓦	〔艹日大马_ajdc〕
蒺	〔艹疒𠂉大_autd〕
蔸	〔艹白儿_arqq〕
饬	〔饣𠂉力丿_ttet〕
暨	〔匸一_vaqg〕
瘁	〔疒亠人十_uywf〕
灸	〔𠂊丶火⺀_qyou〕
缨	〔纟贝贝女_xmmv〕
剡	〔火火刂丨_oojh〕
杈	〔木叉丶_scy〕
椎	〔木亻一_swyg〕
刍	〔⺈彐二_qvf〕
嵊	〔山禾匕_mtux〕
衢	〔彳目目丁_thhs〕
镯	〔钅罒勹虫_qlqj〕
坞	〔土勹ㄅ一_fqng〕
缢	〔纟䒑八皿_xuwl〕
氘	〔⺄〢_rnjj〕
炖	〔火一𡳾𡿨_ogbn〕
坷	〔土丁口一_fskg〕
姥	〔女耂匕𡿨_vfxn〕
摹	〔艹日大手_ajdr〕
霓	〔雨臼儿巜_feqb〕
抡	〔扌人匕𡿨_rwxn〕
旖	〔方𠂉大口_ytdk〕
砺	〔石厂一勹_ddgq〕
翎	〔人羽一_wpng〕
麂	〔匕几巜_oxwb〕
轹	〔丿ㄥ小_ltni〕
蹑	〔𧾷耳又又_lbcc〕
萦	〔艹冖幺小_apxi〕
馍	〔饣艹日大_tajd〕
缰	〔纟一田一_xglg〕
鸠	〔九鸟一_vqg〕
蟒	〔虫艹犬廾_jada〕
糯	〔米雨丆𦉫_ofdm〕
趴	〔𧾷八丶_lwy〕
峪	〔山八人口_mwwk〕
猬	〔犭田月一_eleg〕
娄	〔米女二_ovf〕
芊	〔艹丿十〢_atfj〕
杞	〔木己𡿨_snn〕
燧	〔火䒑𧰨辶_ouep〕
霏	〔雨丨三二_fhdf〕
蚌	〔虫丰丨_jdh〕
讹	〔讠亻𠤎𡿨_ywxn〕
怂	〔人人心⺀_wwnu〕
夔	〔䒑丿目夂_utht〕
奂	〔⺈冂大⺀_qmdu〕
徨	〔彳白王一_trgg〕
阏	〔门方人⺀_uywu〕
彗	〔丰丰彐二_ddvf〕
耆	〔⺹匕日二_fxjf〕
曦	〔日丷王丶_jugy〕
迢	〔刀口辶三_vkpd〕
俨	〔亻一业丿_wgot〕
惘	〔忄冂䒑ㄥ_nmun〕
姗	〔女⺆⺆一_vmmg〕
峨	〔山我丶_mqy〕
皋	〔白大十〢_rdfj〕
鬃	〔镸彡宀小_depi〕
谛	〔讠冖丨_yuph〕
燮	〔言火火又_yooc〕
寐	〔宀爿二小_pufi〕
涫	〔氵冖丨㠯_iphn〕
栉	〔木艹卩丨_sabh〕
靼	〔廿日一_akjg〕
叼	〔口𠃌㇀一_kngg〕
篙	〔𥫗冂口_tymk〕
蝗	〔虫白王一_jrgg〕
掳	〔扌七力_rhae〕
菁	〔艹龶月二_agef〕
榻	〔木日羽一_sjng〕
滕	〔氵龹氺丶_iuiy〕
皎	〔白六乂丶_rury〕
蚓	〔虫弓丨丨_jxhh〕
蝉	〔虫丷丨_julh〕
挎	〔扌大二ㄅ_rdfn〕
脐	〔月文丨_eyjh〕
偕	〔亻匕白_wxxr〕
兮	〔八一ㄅ巜_wgnb〕
杷	〔木巴𡿨_scn〕
袅	〔亠𧘇⺀_qyeu〕
黜	〔黑凵山丨_lbmh〕
黥	〔黑小丶_lyiy〕
瘾	〔疒阝⺈心_ubqn〕
蓑	〔艹一𧘇_ayge〕
厮	〔厂八斤_ddwr〕
苄	〔艹亠卜⺀_ayhu〕
拗	〔扌幺力丿_rxet〕
挢	〔扌丿大_rtdj〕
哽	〔口一日乂_kgjr〕
嘁	〔口戊上丶_kdhy〕
狍	〔犭勹巳𡿨_eqnn〕
饽	〔饣子一_tfbg〕
昶	〔丶㇆日_ynij〕
镓	〔钅宀一𧰨_qpge〕
沽	〔氵古一_idg〕
驹	〔马勹口一_cqkg〕
潍	〔氵纟亻_ixwy〕
捋	〔扌爫寸丶_refy〕
哧	〔口土丶_kfoy〕
淙	〔氵宀二小_ipfi〕
枇	〔木匕𡿨_sxxn〕
懑	〔氵艹一心_iagn〕
靳	〔廿斤丨_akrh〕
囡	〔囗女三_lvd〕
蜚	〔丨三虫⺀_hdju〕
瞟	〔目覀二小_hsfi〕
噎	〔口壹豆一_kflg〕
烨	〔火亻𠤎十_owxf〕
覃	〔覀早〢_sjj〕
蚣	〔虫八厶丶_jwcy〕
鲢	〔一车辶_qglp〕
羌	〔䒑二巜_ufqb〕
茹	〔艹女口二_avkf〕
赡	〔贝⺈厂言_mqdy〕
锨	〔钅斤⺈人_qrqw〕
讪	〔讠山丨_ymh〕
枸	〔木勹口一_sqkg〕
貉	〔豸夂口一_etkg〕
辙	〔亠厶攵_lyct〕
咝	〔口一_kxxg〕
坍	〔土⺆亠一_fmyg〕
扈	〔户口巴巛_okcv〕
焙	〔火立口一_oukg〕
蛾	〔虫我丶_jqy〕
鲸	〔一小_qgyi〕
倌	〔亻宀丨㠯_wphn〕
秫	〔禾木丶丶_tsyy〕
癞	〔疒木口贝_uskm〕
钒	〔钅几丶丶_qwyy〕
馁	〔饣爫女一_tevg〕
瓮	〔八厶瓦⺀_wcgu〕
擀	〔扌十早丨_rfjh〕
瞌	〔目土厶皿_hfcl〕
笞	〔𥫗厶口二_tckf〕
舵	〔丿宀匕_tupx〕
咦	〔口一弓人_kgxw〕
夯	〔大力𰀪_der〕
儆	〔亻艹勹攵_waqt〕
屐	〔尸彳十又_ntfc〕
犊	〔牜卖⺀大_tfud〕
琶	〔王王巴巜_ggcb〕
栀	〔木𠂋⺋𡿨_srbn〕
箫	〔𥫗彐𡭔_tvij〕
觞	〔⺈用𠂉𰀪_qetr〕
骋	〔马冂土ㄅ_cmfn〕
擞	〔扌米女攵_rovt〕
炫	〔火亠幺丶_oyxy〕
惮	〔忄丷丨_nulh〕
涟	〔氵车辶丶_ilpy〕
峦	〔亠山〢_yomj〕
磐	〔丿几口_tuwk〕
